title,Географічна (УКППТ 1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ю,я,ь
default,a,b,v,h,g,d,e,ie,zh,z,y,i,i,i,k,l,m,n,o,p,r,s,t,u,f,kh,ts,ch,sh,sch,іu,ia,
