title,ISO 9:1995,Міжнародний стандарт транслітерації кирилиці (1995),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
origin,а,б,в,г,ґ,д,е,є,ж,з,и,і,ї,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ю,я,ь
default,a,b,v,g,ĝ,d,e,ê,ž,z,i,ì,ï,j,k,l,m,n,o,p,r,s,t,u,f,h,c,č,š,ŝ,û,â,ʹ
